Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-01-06,1112.33,1210.63,1059.88,1179.78,0
2021-01-07,1180.31,1289.01,1156.04,1244.42,0
2021-01-08,1245.25,1273.13,1069.43,1217.07,0
2021-01-09,1217.78,1306.46,1174.93,1291.12,0
2021-01-10,1291.19,1349.66,1167.58,1272.87,0
2021-01-11,1273.35,1277.17,913.83,1059.98,0
2021-01-12,1059,1149.42,1008.14,1049.95,0
2021-01-13,1051.53,1136.43,989.3,1116.87,0
2021-01-14,1116.57,1245.85,1087.59,1197.78,0
2021-01-15,1199.05,1254.61,1071.65,1165.48,0
2021-01-16,1164.81,1292.56,1153.26,1232.47,0
2021-01-17,1232.74,1269.29,1167.77,1246.39,0
2021-01-18,1245.98,1254.89,1184.85,1240.82,0
2021-01-19,1240.84,1438.31,1234.24,1411.21,0
2021-01-20,1411.18,1414.91,1236.01,1335.87,0
2021-01-21,1335.62,1389.01,1087.17,1134.76,0
2021-01-22,1134.38,1274.93,1045.78,1225.99,0
2021-01-23,1225.31,1272.51,1197.84,1237.08,0
2021-01-24,1237.22,1377.36,1222.1,1369.55,0
2021-01-25,1369.42,1475.27,1297.76,1328.37,0
2021-01-26,1327.14,1377.91,1246.7,1361.49,0
2021-01-27,1361.95,1375.47,1210.52,1254.36,0
2021-01-28,1254.16,1361.23,1220.6,1350.21,0
2021-01-29,1350.26,1441.18,1288.35,1395.54,0
2021-01-30,1396.21,1406.34,1327.35,1388.99,0
2021-01-31,1388.01,1389.29,1284.08,1312.07,0
2021-02-01,1311.94,1364.5,1272.07,1359.95,0
2021-02-02,1359.29,1549.12,1359.29,1535.64,0
2021-02-03,1535.71,1651.53,1510.42,1638.34,0
2021-02-04,1638.46,1697.77,1560.19,1627.67,0
2021-02-05,1627.73,1761.12,1591.63,1704.2,0
2021-02-06,1703.68,1744.2,1648.89,1704.24,0
2021-02-07,1704.28,1704.94,1496.44,1599.61,0
2021-02-08,1601.35,1778.6,1566.87,1716.53,0
2021-02-09,1716.62,1824.42,1709.7,1766.48,0
2021-02-10,1767.25,1838.72,1682.65,1748.84,0
2021-02-11,1749.04,1817.87,1706.03,1782.95,0
2021-02-12,1782.57,1861.93,1741.5,1852.62,0
2021-02-13,1852.67,1874.62,1766.39,1816.38,0
2021-02-14,1817.18,1851.86,1786.97,1826.79,0
2021-02-15,1825.73,1836.24,1661.96,1795.07,0
2021-02-16,1798.39,1825.76,1727.52,1768.91,0
2021-02-17,1768.72,1856.57,1734.86,1839.88,0
2021-02-18,1839.72,1950.02,1834.06,1938.66,0
2021-02-19,1938.82,1973.83,1892.01,1953.05,0
2021-02-20,1953.25,2037.77,1823.55,1898.86,0
2021-02-21,1899.02,1975.87,1885.9,1927.61,0
2021-02-22,1928.34,1939.6,1448.76,1777.8,0
2021-02-23,1776.74,1787.28,1360.97,1571.38,0
2021-02-24,1569.91,1712.91,1501.88,1591.39,0
2021-02-25,1591.14,1672.15,1499.39,1515.44,0
2021-02-26,1515.83,1562.62,1401.85,1425.46,0
2021-02-27,1425.22,1526.86,1422.07,1465.61,0
2021-02-28,1463.99,1470.21,1294.95,1423.46,0
2021-03-01,1423.61,1564.64,1411.74,1550.02,0
2021-03-02,1551.07,1603.28,1457.18,1482.14,0
2021-03-03,1482.08,1656.23,1478.17,1583.07,0
2021-03-04,1584.1,1624.33,1506.29,1528.99,0
2021-03-05,1528.98,1549.26,1444.44,1538.87,0
2021-03-06,1537.98,1670.55,1514.63,1666.17,0
2021-03-07,1666.09,1694.41,1634.38,1679.45,0
2021-03-08,1679.37,1795.64,1667.35,1788.68,0
2021-03-09,1789.11,1858.61,1787.62,1846.24,0
2021-03-10,1846.52,1877.81,1759.18,1831.86,0
2021-03-11,1831.84,1846.18,1726.9,1828.51,0
2021-03-12,1828.32,1841.82,1723.45,1761.98,0
2021-03-13,1761.33,1942.9,1729.5,1919.12,0
2021-03-14,1918.61,1939.97,1839.56,1882.17,0
2021-03-15,1881.9,1894.12,1735.97,1788.7,0
2021-03-16,1788.33,1819.24,1716.61,1788.62,0
